Agreement id,Agent ENCollect Code,RightPartyContact,DispositionCodeGroup,DispositionCode,Next Action Date,PTPAmount,NextActionCode,Remarks,Newcontactnumber,NewArea,NewAddress,NewEmailID,AddressType,PickupAddress,WorkRequestId,UploadStatus,ErrorMessage
DMI0009590354,1654,ss,PTP,PTP,2026-12-26,80,,Bulk upload automation,7900144195,btm,bangalore,Elmore.Pouros56@gmail.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590355,1591,ss,PTP,PTP,2026-12-26,29,,Bulk upload automation,6785439455,btm,bangalore,Marilou_Nikolaus@yahoo.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590351,10036,ss,PTP,PTP,2026-12-26,41,,Bulk upload automation,7658658487,btm,bangalore,Mose_Koepp16@hotmail.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590350,10047,ss,PTP,PTP,2026-12-26,62,,Bulk upload automation,9900068608,btm,bangalore,Sierra_Orn58@hotmail.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590359,1526,ss,PTP,PTP,2026-12-26,83,,Bulk upload automation,7505578291,btm,bangalore,Isabella32@hotmail.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590357,1585,ss,PTP,PTP,2026-12-26,63,,Bulk upload automation,9452177774,btm,bangalore,Rory54@hotmail.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590353,1936,ss,PTP,PTP,2026-12-26,66,,Bulk upload automation,6920462373,btm,bangalore,Alva.Terry51@yahoo.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590358,1584,ss,PTP,PTP,2026-12-26,32,,Bulk upload automation,9456534644,btm,bangalore,Muriel_OKon@hotmail.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590356,1586,ss,PTP,PTP,2026-12-26,62,,Bulk upload automation,9616827715,btm,bangalore,Myrl.Goyette@yahoo.com,permanent,new,02132026013733340,Error,Account number does not exist in database
DMI0009590352,10031,ss,PTP,PTP,2026-12-26,63,,Bulk upload automation,8142990589,btm,bangalore,Orrin.Emard@gmail.com,permanent,new,02132026013733340,Error,Invalid right party contact.
