Agreement id,Agent ENCollect Code,RightPartyContact,DispositionCodeGroup,DispositionCode,Next Action Date,PTPAmount,NextActionCode,Remarks,Newcontactnumber,NewArea,NewAddress,NewEmailID,AddressType,PickupAddress,WorkRequestId,UploadStatus,ErrorMessage
DMI0009590352,10031,yes,PTP,PTP,2026-12-26,79,,Bulk upload automation,6401241458,btm,bangalore,Joy61@gmail.com,permanent,new,02132026014316303,Success,
DMI0009590352,1654,yes,PTP,PTP,2026-12-26,58,,Bulk upload automation,8031070415,btm,bangalore,Cordell30@gmail.com,permanent,new,02132026014316303,Success,
DMI0009590352,1526,yes,PTP,PTP,2026-12-26,7,,Bulk upload automation,6081729148,btm,bangalore,Arturo90@gmail.com,permanent,new,02132026014316303,Success,
DMI0009590352,1584,yes,PTP,PTP,2026-12-26,10,,Bulk upload automation,8863566441,btm,bangalore,Georgette_Cormier15@hotmail.com,permanent,new,02132026014316303,Success,
DMI0009590352,1586,yes,PTP,PTP,2026-12-26,27,,Bulk upload automation,6738008278,btm,bangalore,Gregorio.Schroeder-Batz39@yahoo.com,permanent,new,02132026014316303,Error,Agent ID not approved
DMI0009590352,10047,yes,PTP,PTP,2026-12-26,27,,Bulk upload automation,8430129304,btm,bangalore,Danielle.Connelly@yahoo.com,permanent,new,02132026014316303,Error,Agent ID not approved
DMI0009590352,1585,yes,PTP,PTP,2026-12-26,30,,Bulk upload automation,7907916336,btm,bangalore,Wyatt85@yahoo.com,permanent,new,02132026014316303,Error,Agent ID not approved
DMI0009590352,1936,yes,PTP,PTP,2026-12-26,43,,Bulk upload automation,9203281400,btm,bangalore,Jacklyn.Rodriguez@hotmail.com,permanent,new,02132026014316303,Error,Agent ID not approved
DMI0009590352,1591,yes,PTP,PTP,2026-12-26,39,,Bulk upload automation,8400146833,btm,bangalore,Cordell23@hotmail.com,permanent,new,02132026014316303,Error,Agent ID not approved
DMI0009590352,10036,yes,PTP,PTP,2026-12-26,65,,Bulk upload automation,6951383071,btm,bangalore,Era74@yahoo.com,permanent,new,02132026014316303,Error,Agent ID not approved
