Agreement id,Agent ENCollect Code,RightPartyContact,DispositionCodeGroup,DispositionCode,Next Action Date,PTPAmount,NextActionCode,Remarks,Newcontactnumber,NewArea,NewAddress,NewEmailID,AddressType,PickupAddress,WorkRequestId,UploadStatus,ErrorMessage
DMI0009590352,1584,ss,PTP,PTP,2026-12-26,96,,Bulk upload automation,6864606540,btm,bangalore,Ruth_Satterfield-Sanford98@hotmail.com,permanent,new,02132026014015311,Error,Invalid right party contact.
DMI0009590352,10031,ss,PTP,PTP,2026-12-26,25,,Bulk upload automation,8508861174,btm,bangalore,Yessenia.Rau30@hotmail.com,permanent,new,02132026014015311,Error,Invalid right party contact.
DMI0009590352,10047,ss,PTP,PTP,2026-12-26,51,,Bulk upload automation,7933880308,btm,bangalore,Annette82@yahoo.com,permanent,new,02132026014015311,Error,Agent ID not approved
DMI0009590352,1591,ss,PTP,PTP,2026-12-26,77,,Bulk upload automation,7777484865,btm,bangalore,Priscilla.Wiegand39@gmail.com,permanent,new,02132026014015311,Error,Agent ID not approved
DMI0009590352,1526,ss,PTP,PTP,2026-12-26,95,,Bulk upload automation,6375882383,btm,bangalore,Robb71@hotmail.com,permanent,new,02132026014015311,Error,Invalid right party contact.
DMI0009590352,1585,ss,PTP,PTP,2026-12-26,29,,Bulk upload automation,8837473494,btm,bangalore,Giuseppe.Bode@hotmail.com,permanent,new,02132026014015311,Error,Agent ID not approved
DMI0009590352,10036,ss,PTP,PTP,2026-12-26,27,,Bulk upload automation,7705620958,btm,bangalore,Jared_Zieme@gmail.com,permanent,new,02132026014015311,Error,Agent ID not approved
DMI0009590352,1586,ss,PTP,PTP,2026-12-26,95,,Bulk upload automation,9582370299,btm,bangalore,Cassandra.Conn@hotmail.com,permanent,new,02132026014015311,Error,Agent ID not approved
DMI0009590352,1654,ss,PTP,PTP,2026-12-26,74,,Bulk upload automation,7232658577,btm,bangalore,Kailee_Price@hotmail.com,permanent,new,02132026014015311,Error,Invalid right party contact.
DMI0009590352,1936,ss,PTP,PTP,2026-12-26,76,,Bulk upload automation,7467925521,btm,bangalore,Dimitri24@hotmail.com,permanent,new,02132026014015311,Error,Agent ID not approved
