Customer Id,Loan Account Number,Upload Type,Party Name,Relationship,Notice Type,Notice Reference Number,Notice Date,WhatsApp Delivery Status,WhatsApp Delivery Date,SMS Delivery Status,SMS Delivery Date,Physical Delivery Status,Physical Delivery Date,Physical Tracking ID,TransactionId,Status,Remarks
"=""41174""","=""1667""","=""Create""","=""Party 2""","=""Self""","=""Demand Notice""","=""NREF17882677028312""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028312""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 3""","=""Self""","=""Demand Notice""","=""NREF17882677028313""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028313""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 4""","=""Self""","=""Demand Notice""","=""NREF17882677028314""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028314""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 5""","=""Self""","=""Demand Notice""","=""NREF17882677028315""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028315""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 6""","=""Self""","=""Demand Notice""","=""NREF17882677028316""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028316""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 7""","=""Self""","=""Demand Notice""","=""NREF17882677028317""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028317""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 8""","=""Self""","=""Demand Notice""","=""NREF17882677028318""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028318""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 9""","=""Self""","=""Demand Notice""","=""NREF17882677028319""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882677028319""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 10""","=""Self""","=""Demand Notice""","=""NREF178826770283110""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283110""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 11""","=""Self""","=""Demand Notice""","=""NREF178826770283111""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283111""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 12""","=""Self""","=""Demand Notice""","=""NREF178826770283112""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283112""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 13""","=""Self""","=""Demand Notice""","=""NREF178826770283113""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283113""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 14""","=""Self""","=""Demand Notice""","=""NREF178826770283114""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283114""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 15""","=""Self""","=""Demand Notice""","=""NREF178826770283115""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283115""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 16""","=""Self""","=""Demand Notice""","=""NREF178826770283116""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283116""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 17""","=""Self""","=""Demand Notice""","=""NREF178826770283117""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283117""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 18""","=""Self""","=""Demand Notice""","=""NREF178826770283118""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283118""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 19""","=""Self""","=""Demand Notice""","=""NREF178826770283119""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283119""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 20""","=""Self""","=""Demand Notice""","=""NREF178826770283120""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283120""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 21""","=""Self""","=""Demand Notice""","=""NREF178826770283121""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283121""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 22""","=""Self""","=""Demand Notice""","=""NREF178826770283122""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283122""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 23""","=""Self""","=""Demand Notice""","=""NREF178826770283123""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283123""","=""20260901183243904""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 24""","=""Self""","=""Demand Notice""","=""NREF178826770283124""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826770283124""","=""20260901183243904""",Success,
