File Number,Loan Account Number,Sub LAN,Case Filing Date,Forum (court),Case type,Case Number,Case Year,Petitioner,Respondent,CNR (district courts),Lawyer,Next Hearing Date,TransactionId,Status,Remarks
"=""FN74906623""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1002""","=""2024""","=""Percy Purdy-McCullough DDS""","=""Mr. Gene Shanahan""","=""CNR785881729473""","=""Lynda Fisher""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN36447799""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1003""","=""2024""","=""Jody Moen""","=""Claire Hamill""","=""CNR473548656606""","=""Mabel Feeney Jr.""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN52319942""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1004""","=""2024""","=""Maryann Lockman""","=""Frances Stark""","=""CNR089158781697""","=""Dr. Jerry Purdy""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN64421677""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1005""","=""2024""","=""Angelina King""","=""Miss Geneva Ritchie""","=""CNR009095530864""","=""Sherri Witting""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN65482133""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1006""","=""2024""","=""Julian Monahan""","=""Mr. Roderick Rice-Lesch""","=""CNR834466507299""","=""Lana Welch""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN53577709""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1007""","=""2024""","=""Isaac Lowe Jr.""","=""Jessie Hauck""","=""CNR332674892986""","=""Salvador Hamill MD""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN26376226""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1008""","=""2024""","=""Angel Yundt-Lehner""","=""Alyssa Schaefer""","=""CNR819852085106""","=""Rebecca Dare""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN06243373""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1009""","=""2024""","=""Sarah Hirthe""","=""Gladys Metz""","=""CNR700574377466""","=""Minnie Franecki""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN53469488""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1010""","=""2024""","=""Debra Wuckert""","=""Sheri Schneider""","=""CNR284552492859""","=""Simon Lakin""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN56793867""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1011""","=""2024""","=""Andres Bradtke-Predovic""","=""Josh DuBuque""","=""CNR368234273227""","=""Mrs. Kerry Schinner""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN28982459""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1012""","=""2024""","=""Mrs. Charlotte Upton""","=""Marilyn Douglas""","=""CNR610139677944""","=""Glen Hodkiewicz MD""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN36025343""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1013""","=""2024""","=""Rudy Medhurst""","=""Christine Christiansen""","=""CNR314792567251""","=""Mr. Jimmy Murazik""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN32008395""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1014""","=""2024""","=""Clifford Hermiston""","=""Myrtle Koss""","=""CNR894132913461""","=""Mr. Pablo Mayer""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN52706103""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1015""","=""2024""","=""Lula Rempel""","=""Dr. Herbert Thompson""","=""CNR302807085910""","=""Danielle Rutherford""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN23613345""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1016""","=""2024""","=""Mr. Tony Fay""","=""Annette Bruen""","=""CNR085301787953""","=""Reginald White-Quigley""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN53020822""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1017""","=""2024""","=""Sherman Murray""","=""Thelma Hickle""","=""CNR281064839727""","=""Debra Bayer DVM""","=""2028-12-31""","=""20260730205543611""",Success,
"=""FN36668118""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1018""","=""2024""","=""Eunice Erdman II""","=""Paul Dooley""","=""CNR785673181634""","=""Bradford Lynch""","=""2028-12-31""","=""20260730205543611""",Success,
